"","Number of reads used for methulation extraction","Number of CpG sites with at least 1x coverage","Number of CpG sites with at least 2x coverage","Number of CpG sites with at least 4x coverage","Mean coverage at orthologous CpG sites","Proportion of orthologous CpG sites with low methylation","Proportion of orthologous CpG sites with intermediate methylation","Proportion of orthologous CpG sites with high methylation","Mean methylation at CpG sites","Number of sequenced reads","Number of reads after trimming","Number of mapped reads","Number of reads after deduplication","Number of 5' nt for methylation extraction","Percentage of methylation in non-CpG context","Number of reads mapped to lambda phage genome","Coverage on lambda phage DNA","Conversion efficiency of lambda phage DNA","Read length","DNA concentration","Library Fragment Size","Library concentration","Number of libraries","Flowcell","Library Preparation Date","Multiplexing ID","Machine ID","Sequencing Facility","Encoding"
"PC1",0,0.561310620124118,0.0267738653061911,0,0,0,1.65449217659486e-07,0.561310620124118,5.92234350449417e-08,0.05822570284617,0.72807158738589,0.901850587427465,0.0227740920681426,3.35155972667286e-06,2.6372237726946e-11,9.35251875944232e-13,0.0827003427180761,0.0827003427180761,0.938869065438212,0.561310620124118,0.940254635402042,0.776227402785221,0.999999807072587,0.203910232516385,0.888979629719761,0.967496886704875,0.844601581776828,0.967496886704875,0.26075653176599
"PC2",0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.913650750485218,0.530070410546835,0.31363874844792,0.265628337212466,0.21393710631186,0.00438320723261354,0.0963211873758402,0.999999807072587,0.999999807072587,0.748383074578691,0.748383074578691,0.999999807072587,0.913650750485218,0.967496886704875,0.999999807072587,0.780845638522384,0.302753863010825,0.962981218575646,0.55728492577943,0.747661103956986,0.748383074578691,0.94971006254147
"PC3",0.668352065721323,0.94971006254147,0.561310620124118,0.121914275083821,0.335285243069135,0.335285243069135,0.129379976860252,0.748383074578691,0.999999807072587,0.896887457746312,0.86198456478191,0.938869065438212,0.967496886704875,0.313072818896219,0.287152760102036,0.0227740920681426,0.496203227707961,0.540806595076584,0.201955162208399,0.748383074578691,0.938869065438212,0.592456793121223,0.265628337212466,0.313072818896219,0.962981218575646,0.999999807072587,0.561310620124118,0.999999807072587,0.999999807072587
"PC4",3.9389122049752e-06,0.360123274837296,0.0835701050896544,2.01420594489069e-09,1.16205307194987e-07,1.16205307194987e-07,3.52189927221858e-08,0.55728492577943,0.108272131263062,0.315077467960704,0.748383074578691,0.780351717750562,0.990388600215647,0.536874901928061,0.676815027891914,0.613136420036291,0.55728492577943,0.55728492577943,0.676815027891914,0.55728492577943,0.55728492577943,0.999999807072587,0.190178405392777,0.0318425244180059,0.999999807072587,0.999999807072587,0.999999807072587,0.18729316812404,0.190178405392777
"PC5",0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.999999807072587,0.313072818896219,0.544763716967441,0.201955162208399,0.159615825303775,0.149909784940846,0.108272131263062,0.789292923942267,0.149909784940846,0.901537592455954,0.26075653176599,0.265628337212466,0.104056106437231,0.313072818896219,0.938869065438212,0.109352989686966,0.967496886704875,0.653563472461644,0.326333836561984,0.965730992632648,0.965730992632648,0.999999807072587,0.999999807072587
